month;cpv_division;division_name;tender_count
2025-04;9;Produkty naftowe, paliwa i energia;160
2025-04;38;Sprzęt laboratoryjny i naukowy;143
2025-04;85;Usługi zdrowotne i społeczne;140
2025-04;44;Materiały budowlane;119
2025-04;77;Usługi rolnicze i leśne;118
2025-04;66;Usługi finansowe i ubezpieczeniowe;107
2025-04;32;Sprzęt elektroniczny i telekomunikacyjny;103
2025-04;72;Usługi informatyczne;91
2025-04;60;Usługi transportu drogowego;82
2025-04;42;Maszyny przemysłowe;75
2025-04;18;Odzież i obuwie;74
2025-04;31;Sprzęt elektryczny;73
2025-04;24;Produkty chemiczne;65
2025-04;63;Usługi spedycji i logistyki;63
2025-04;14;Górnictwo i minerały;58
2025-04;98;Pozostałe usługi komunalne i osobiste;55
2025-04;3;Produkty rolne, łowieckie i rybne;54
2025-04;16;Maszyny rolnicze;48
2025-04;92;Usługi rekreacyjne i kulturalne;46
2025-04;35;Sprzęt bezpieczeństwa i ochrony;45
2025-04;22;Drukowane materiały i produkty poligraficzne;40
2025-04;43;Maszyny górnicze;36
2025-04;64;Usługi pocztowe i telekomunikacyjne;36
2025-04;37;Sprzęt sportowy i rekreacyjny;26
2025-04;70;Usługi w zakresie nieruchomości;22
2025-04;75;Usługi administracji publicznej;19
2025-04;73;Usługi badawczo-rozwojowe;17
2025-04;19;Wyroby skórzane i tekstylne;10
2025-04;51;Usługi instalacyjne;4
2025-04;65;Usługi komunalne (gaz, woda, energia);3
2025-04;41;Woda i usługi wodne;2
2025-04;76;Usługi związane z przemysłem naftowym;1
2025-05;45;Roboty budowlane;3198
2025-05;33;Sprzęt medyczny i farmaceutyczny;793
2025-05;71;Usługi architektoniczne i inżynieryjne;786
2025-05;15;Artykuły spożywcze i napoje;355
2025-05;39;Meble i wyposażenie wnętrz;350
2025-05;34;Sprzęt transportowy i pojazdy;324
2025-05;30;Sprzęt komputerowy i biurowy;322
2025-05;80;Usługi edukacyjne;268
2025-05;90;Usługi środowiskowe i sanitarne;255
2025-05;79;Usługi biznesowe i doradcze;238
2025-05;55;Usługi hotelarskie i restauracyjne;211
2025-05;50;Usługi napraw i konserwacji;184
2025-05;48;Pakiety oprogramowania;178
2025-05;38;Sprzęt laboratoryjny i naukowy;159
2025-05;9;Produkty naftowe, paliwa i energia;147
2025-05;85;Usługi zdrowotne i społeczne;141
2025-05;66;Usługi finansowe i ubezpieczeniowe;120
2025-05;60;Usługi transportu drogowego;118
2025-05;31;Sprzęt elektryczny;111
2025-05;72;Usługi informatyczne;104
2025-05;44;Materiały budowlane;95
2025-05;32;Sprzęt elektroniczny i telekomunikacyjny;92
2025-05;42;Maszyny przemysłowe;86
2025-05;77;Usługi rolnicze i leśne;76
2025-05;35;Sprzęt bezpieczeństwa i ochrony;68
2025-05;63;Usługi spedycji i logistyki;62
2025-05;24;Produkty chemiczne;57
2025-05;3;Produkty rolne, łowieckie i rybne;55
2025-05;18;Odzież i obuwie;47
2025-05;16;Maszyny rolnicze;44
2025-05;14;Górnictwo i minerały;43
